selection_order,dataset,source_id,source_split,source_label,donor_id,donor_split,target_label,source_text_hash,control_text_hash,scope_transition,eligibility,donor_reuse_count_after_selection
54,CLINC150,clinc150:oos_test:00709,oos_test,oos,clinc150:test:02098,test,reminder_update,99105cfa547a3ab7df0af4ee568a88d4cb62727841c39f218c40abcac0ec695e,e1b3a8ffc2c218915805b4792e700060cfce13e9118e98ed78c85fc030d693b2,OOS_TO_IN_SCOPE,ELIGIBLE,1
55,CLINC150,clinc150:test:03996,test,are_you_a_bot,clinc150:test:00580,test,where_are_you_from,88eda4e194c0d086e4ab46c76cca1372a73d26b9e49f7c7a15f08718066e5681,6f5d648fe3a0c86329650e10fbd82121b86d6bb1a635f85a8efee3b4b8ec5b0a,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
56,CLINC150,clinc150:test:00657,test,what_can_i_ask_you,clinc150:test:02944,test,what_song,8e727a213cb41bd2253e721fc6b49b7ec9ab6a0f8f880fbaa833754b820827eb,db8b821932f08e875139024c1bee085c537d3a946f3990c121a7175c0059f61e,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
57,CLINC150,clinc150:test:04247,test,car_rental,clinc150:test:01882,test,schedule_maintenance,cb8c94e72c3a8d484b2e9d1a184093fb6db6bbb4e3128956b4219fa03e040591,62f87935b2d9f65cbe9e4538d0babd3a1906f2e0f931898a20519ec0fa941c33,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
58,CLINC150,clinc150:test:01431,test,travel_suggestion,clinc150:test:04296,test,meal_suggestion,1e0408b0eae69119c4603fd1c12a05512866dbdf8f02a4901db42b324fc1f49e,bcd772e86bee6cf2c9f953ad2c3f0928364c830addf2bdb7662225b13b54a561,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
59,CLINC150,clinc150:test:00975,test,timezone,clinc150:test:02491,test,schedule_meeting,a78ae6e39ec647ea05667a73b2fc58b0a3e13cdbf2dbd0a93839fd2b785b5e3f,6a19fe8c9362e8c6b6a45444d8ab1488c8e1325cb58e034b53b835c71f696175,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
60,CLINC150,clinc150:oos_test:00400,oos_test,oos,clinc150:test:01946,test,sync_device,1641d778001606564a7d4815a17909cc6add0236e54cd092cdc177a98c46d5fc,b397d3f9d2eb705443f6f6a6994be9f752f56edfb39853a84106d9cd83994e75,OOS_TO_IN_SCOPE,ELIGIBLE,1
61,CLINC150,clinc150:test:03168,test,smart_home,clinc150:test:00342,test,change_language,d51649b7084e64bb14e10dbcfcb2c703f5c7facde60f227bfdae62af34fc153b,ae33f7209fe325c91520199dfdf3c6da2d6ac8fa24f7177cdf66210d7527dfaf,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
62,CLINC150,clinc150:oos_test:00300,oos_test,oos,clinc150:test:03134,test,measurement_conversion,e2d4670705a28e869a041e1ea14eec7b7f2c41b196d3547ace0b68a2050ee3cd,f9c43ea7d25e9d63b5cbe898b01a76605b0c4ea2fc62dcd788955ad05edab042,OOS_TO_IN_SCOPE,ELIGIBLE,1
63,CLINC150,clinc150:test:03600,test,what_is_your_name,clinc150:test:03735,test,what_are_your_hobbies,1bb3ce594180f60008cd394903a13a385a219f8723b045361ef054dbef79970f,66ccef6cbae21bb1ecbb4cea70f7bcb74f02ea9c7665dea6fc811197be12b6ce,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
64,CLINC150,clinc150:test:00783,test,confirm_reservation,clinc150:test:04134,test,cancel_reservation,419b14b57482cc216a79e0349cfb56f89aa19ca29e6e996f078b2b0994f77106,36d1dd93336aa292b16b28ce201245a94321de5c2bd5590126e6b860a1bdf04e,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,2
65,CLINC150,clinc150:test:00604,test,shopping_list_update,clinc150:test:03787,test,shopping_list,5b8c50b5195ad1993e87e4e1c2ed4edb33d6c401cb4466be17e529ec0e2ef98c,5a4a71c20ecdda3bc0d3997ed7773b9c42f39d11e5654e2610218e802f89cec9,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
66,CLINC150,clinc150:test:02393,test,damaged_card,clinc150:test:04493,test,card_declined,ff3e6942687127419535e3da5a29f2ee5604b312a8a9be1a3be584e3e81ec1f6,a6173f183ed8d20a96e6f47839bbd57b84624077d600b2fdfd1b01c23916ffc2,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
67,CLINC150,clinc150:test:03078,test,ingredients_list,clinc150:test:03787,test,shopping_list,eed2f22a6351db08f86cf95fe9848caeb1344361ebc771e1acd7ae077c7af559,5a4a71c20ecdda3bc0d3997ed7773b9c42f39d11e5654e2610218e802f89cec9,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,2
68,CLINC150,clinc150:test:04438,test,traffic,clinc150:test:01750,test,calculator,c67413417a8a0815394c978a7afada896b8bed13279115fa72760dc01aff542e,9881c015985bc9f5056e2f55549e5e483007367dafe95fad2d9b46b05e0b5baf,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
69,CLINC150,clinc150:test:01165,test,spending_history,clinc150:test:00604,test,shopping_list_update,902171521690fee5c3c20ff8e87a6c9ae92a906812291ad233f079caf736f403,5b8c50b5195ad1993e87e4e1c2ed4edb33d6c401cb4466be17e529ec0e2ef98c,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
70,CLINC150,clinc150:oos_test:00039,oos_test,oos,clinc150:test:03819,test,text,230cd868578235762f15ef85384524976ac8bebdc030fb72c67257efc1d1f79e,36b6d267d9f9e07b47633128504d33e0ec88485aee10441f7e8614e369ba9a85,OOS_TO_IN_SCOPE,ELIGIBLE,1
71,CLINC150,clinc150:oos_test:00616,oos_test,oos,clinc150:test:02824,test,order_status,d1c082a4c397277f7c945b124809b219553f3f40a211d04c88f7a00d17a85799,e471c6ca1c4eb2e3ae091a3950f6ce02cedc76df0b1d28f781dc12a5c674fc7e,OOS_TO_IN_SCOPE,ELIGIBLE,1
72,CLINC150,clinc150:test:00862,test,rollover_401k,clinc150:test:02393,test,damaged_card,60957aa53deed71c063dd3bfe4ecadbfc3fe4f1ba6b28f1d5626b0e90b6c8cec,ff3e6942687127419535e3da5a29f2ee5604b312a8a9be1a3be584e3e81ec1f6,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
73,CLINC150,clinc150:test:01951,test,thank_you,clinc150:test:00885,test,who_made_you,f4163dd86d7787adbdcf3056f17ffbca1966fdc4218b507da0857aaf74e0ec3f,3f0658ae93178644cb28c962a1c8f080d45d7363d81d998de4d09d4715a7cc16,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
74,CLINC150,clinc150:oos_test:00281,oos_test,oos,clinc150:test:01271,test,lost_luggage,d18a0187097bb4a31b784d570d0ba74816067dc3512a3a0a7e964ed21f999169,79477e07f8611d4df80fdbf3104c306fa3e5fcbd22c3b9c55bdc6159db2d640f,OOS_TO_IN_SCOPE,ELIGIBLE,1
75,CLINC150,clinc150:test:02773,test,how_busy,clinc150:test:04200,test,how_old_are_you,a32649330212e1ea3604f964b1e0fe9ff738136bc9e6444eb5684e024ca04c70,d88976855d538add20127a10bddb8c96239da52cbb25e8275fed14b71d1d3f9d,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
76,CLINC150,clinc150:test:03014,test,last_maintenance,clinc150:test:02012,test,food_last,9679f6bde6869156afea1edb499b53ab56047b09c127ac0c6918341c7f17c306,dfda10028bd11192b0875bbc58c67fc719af10f7bd43481829294db5d6078151,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
77,CLINC150,clinc150:test:02250,test,change_accent,clinc150:test:02851,test,pin_change,e672739cf99f18c23d342b73145aa152e9b8187b18e618c1507a73b7b98c37ce,2953e3c4ec4599a2e6966d9188d45d852736bb8a594e39c36fac5da3b9699fbc,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
78,CLINC150,clinc150:oos_test:00444,oos_test,oos,clinc150:test:00923,test,distance,66e682724bf5e18be1fa8a137a444f4f9bd4d4217edd741646c03eb47a4515b4,63b7b4490f1a200212dce64229b0fda01b8f9fc72afded449b983be0ca4e1fee,OOS_TO_IN_SCOPE,ELIGIBLE,1
79,CLINC150,clinc150:oos_test:00190,oos_test,oos,clinc150:test:03435,test,vaccines,c795c0def26b9423d29b2e0eabb7a1a137dbaa6c0eabe5885102c9d3c22ed79b,e7dfa2d2bbae55282744fda9965cf64718142b464831d5e578656a31e7a94758,OOS_TO_IN_SCOPE,ELIGIBLE,1
80,CLINC150,clinc150:test:00155,test,insurance_change,clinc150:test:01460,test,insurance,cb43871ba235775d2e120576d3e6ed65b48d84f957f8d4467c0c645f6e1897f7,70c12f73473b0c07ee2a5b09d3f7b4b175a4ad7e947e6f70196e4171c90b9e84,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
81,CLINC150,clinc150:oos_test:00153,oos_test,oos,clinc150:test:03407,test,international_visa,f5f92f1374b9fe505427120e35d5eadea0cc31bde00ce4e006681f6e5739e824,75ebd7c3aada006539496de72dd546803a7e9d57c181f10b1616b0517eabb576,OOS_TO_IN_SCOPE,ELIGIBLE,2
82,CLINC150,clinc150:oos_test:00518,oos_test,oos,clinc150:test:00137,test,meaning_of_life,547388e67950def189efc6c2b41f382f7f265e6600b7b6c3782f3dbd06bc6f5c,278c52ea8eb8d43f440a69f17517128271141e06be89adc266eeda24dd68ed8e,OOS_TO_IN_SCOPE,ELIGIBLE,1
83,CLINC150,clinc150:oos_test:00318,oos_test,oos,clinc150:test:04200,test,how_old_are_you,0fb21e8805b4bec7d37e95e11744cdd82c881aa421f7b03675a929eeee999879,d88976855d538add20127a10bddb8c96239da52cbb25e8275fed14b71d1d3f9d,OOS_TO_IN_SCOPE,ELIGIBLE,2
84,CLINC150,clinc150:test:03735,test,what_are_your_hobbies,clinc150:test:03600,test,what_is_your_name,66ccef6cbae21bb1ecbb4cea70f7bcb74f02ea9c7665dea6fc811197be12b6ce,1bb3ce594180f60008cd394903a13a385a219f8723b045361ef054dbef79970f,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
85,CLINC150,clinc150:test:00109,test,definition,clinc150:test:03924,test,redeem_rewards,553947339194d6c8dbf2686ff2c38709058734d8e72f7d06f58a087052d483c6,479707c494d850ae5c698d4e80a8ffd4a7ede706fe6ef6115151ce8cbb9c7851,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
86,CLINC150,clinc150:test:00306,test,fun_fact,clinc150:test:01339,test,mpg,178b5d304ba7e7fc2ed61c6bf5af34db1e3e697992af705b4e254a3d03970120,e809e932d94af6a2317d1aeb8d6cd6dd7b41d3de6aee75894cd36b9ca788dde9,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
