selection_order,dataset,split,source_id,source_label,donor_id,target_label,source_text_hash,control_text_hash,changed_intent_bearing_concept,boundary_class,label_risk_stratum,eligibility,donor_reuse_count_after_selection
18,BANKING77,test,banking77:test:00923,getting_virtual_card,banking77:test:02403,getting_spare_card,dcee77bf4b8eecd00c82d577a8a9e53674238058e9d13045c221e847ccf6d615,8347efaa9cf7c702f0170d0affa8663733c63d62e6fbacdf35af14de42bbb35b,official route changes from getting_virtual_card to getting_spare_card,NEAREST,published_label_level_proxy,ELIGIBLE,1
19,BANKING77,test,banking77:test:00003,card_arrival,banking77:test:00963,card_acceptance,03f3f243313805de8594f1b838a57a13da757314efac767e9cc9ad58ba6163a9,e0f6a55abff5f604593da77ba8f8095f01f27b2c2c5ee2baa99d90e6cf954dee,official route changes from card_arrival to card_acceptance,NEAREST,published_label_level_proxy,ELIGIBLE,1
20,BANKING77,test,banking77:test:00843,transfer_not_received_by_recipient,banking77:test:02683,balance_not_updated_after_bank_transfer,92a12287d889ffaa5961dbb462b0f7cba5a1ed20adf4be9bc0e9c146f25e60c2,cc110c1d9c03307a0d16fc407364e383a12e1c0278101f8c45787ad4d375db5a,official route changes from transfer_not_received_by_recipient to balance_not_updated_after_bank_transfer,NEAREST,published_label_level_proxy,ELIGIBLE,1
21,BANKING77,test,banking77:test:00440,lost_or_stolen_card,banking77:test:01640,lost_or_stolen_phone,e44ddb73be6331ea708af09528e3fbc5f5caa11a5361255b43bee5ba9e667c46,52a9c178e533aac1de4064532a1263f97e03b1ac814392da5686bdba204c941a,official route changes from lost_or_stolen_card to lost_or_stolen_phone,NEAREST,lower_proxy_risk,ELIGIBLE,1
22,BANKING77,test,banking77:test:01640,lost_or_stolen_phone,banking77:test:00440,lost_or_stolen_card,52a9c178e533aac1de4064532a1263f97e03b1ac814392da5686bdba204c941a,e44ddb73be6331ea708af09528e3fbc5f5caa11a5361255b43bee5ba9e667c46,official route changes from lost_or_stolen_phone to lost_or_stolen_card,NEAREST,lower_proxy_risk,ELIGIBLE,1
23,BANKING77,test,banking77:test:00320,automatic_top_up,banking77:test:00640,pending_top_up,d65e9b75c67d6a53ebd4457246ff3d57899174ff9ac1dad92758900efdce1656,3036249862a8ac9f71bfb74697d47e404177a5feab4e00740553d666098e2c17,official route changes from automatic_top_up to pending_top_up,NEAREST,lower_proxy_risk,ELIGIBLE,1
24,BANKING77,test,banking77:test:02360,verify_top_up,banking77:test:00325,automatic_top_up,6192e21340eb51479e4f48cf2cdc144c5ab8ffab10c03935c1c9ef730436001b,11f5389f21dce7e29a7032100250164c8d9052496c9586475caf0ecc866c91db,official route changes from verify_top_up to automatic_top_up,NEAREST,lower_proxy_risk,ELIGIBLE,1
25,BANKING77,test,banking77:test:02880,cash_withdrawal_charge,banking77:test:01560,declined_cash_withdrawal,8d53abc8496054d33d2b4ced09de3d485b86f01050072484ce92fa6a3ee2008d,1450b1fff1e57d1e58207bbcb5e98c19c976c4cf18d3069c1355c346e06252c1,official route changes from cash_withdrawal_charge to declined_cash_withdrawal,NEAREST,lower_proxy_risk,ELIGIBLE,1
26,BANKING77,test,banking77:test:02080,reverted_card_payment?,banking77:test:01800,declined_card_payment,d9e1813b1eccbeb9193a33416e821756de66083233ada8719b931eef37512d5b,0a62524666331d0890a27d90e1c6f818ad69243491828a745d92009f331c8c9e,official route changes from reverted_card_payment? to declined_card_payment,NEAREST,lower_proxy_risk,ELIGIBLE,1
27,BANKING77,test,banking77:test:01240,get_physical_card,banking77:test:02480,order_physical_card,858abe09eb5e0be4b538e0637549d5921a2148ccb8cd967605e812980c3516d3,6012c9604f28ab8478c2b6bb57f752afd1257fbbef228514e0e44e5d10c19367,official route changes from get_physical_card to order_physical_card,NEAREST,lower_proxy_risk,ELIGIBLE,1
28,BANKING77,test,banking77:test:02480,order_physical_card,banking77:test:01240,get_physical_card,6012c9604f28ab8478c2b6bb57f752afd1257fbbef228514e0e44e5d10c19367,858abe09eb5e0be4b538e0637549d5921a2148ccb8cd967605e812980c3516d3,official route changes from order_physical_card to get_physical_card,NEAREST,lower_proxy_risk,ELIGIBLE,1
29,BANKING77,test,banking77:test:02400,getting_spare_card,banking77:test:00920,getting_virtual_card,2321e742b6d7c80963c2c61f2658f67c761a461ede5dd91bb76202ad5ea39eb9,38f3d70f6905732f3b7eb2b8664d1b5949ace19df6b085b9638c58e688bb77bf,official route changes from getting_spare_card to getting_virtual_card,NEAREST,lower_proxy_risk,ELIGIBLE,1
30,BANKING77,test,banking77:test:01320,topping_up_by_card,banking77:test:02800,top_up_by_card_charge,3dcec99e1e5a613cb6732334c7c63d048882b95f0b02220962159faa583846c7,3b684838db4fe215d25738b64dcdd94ee144ba5dc0d1a32592ead0d0fb90c397,official route changes from topping_up_by_card to top_up_by_card_charge,NEAREST,lower_proxy_risk,ELIGIBLE,1
31,BANKING77,test,banking77:test:01160,why_verify_identity,banking77:test:03000,verify_my_identity,7d556e91187ff7cfd7882b5af0753e132b6245cbfb865ccb32ae13482599af02,b82f1e488262576b9f7361110ad91636d7a527245629b0a9dee4299487f7755d,official route changes from why_verify_identity to verify_my_identity,NEAREST,lower_proxy_risk,ELIGIBLE,1
32,BANKING77,test,banking77:test:03000,verify_my_identity,banking77:test:01160,why_verify_identity,b82f1e488262576b9f7361110ad91636d7a527245629b0a9dee4299487f7755d,7d556e91187ff7cfd7882b5af0753e132b6245cbfb865ccb32ae13482599af02,official route changes from verify_my_identity to why_verify_identity,NEAREST,lower_proxy_risk,ELIGIBLE,1
33,BANKING77,test,banking77:test:00800,card_payment_fee_charged,banking77:test:01801,declined_card_payment,f1c7bac23b5dca0be76393c0fe162416040311d37a5d3e0b98142e3def6d7b90,8002ee606f36ad757b9269fedb62b84d40121553f9b8ef250287c0990ae4626d,official route changes from card_payment_fee_charged to declined_card_payment,NEAREST,lower_proxy_risk,ELIGIBLE,1
34,BANKING77,test,banking77:test:02200,transfer_fee_charged,banking77:test:00800,card_payment_fee_charged,cbf68e6f1b5bd83eaae0eafa5a38e4ae1820ef5d5b0f8a22b8cca71b3fdce046,f1c7bac23b5dca0be76393c0fe162416040311d37a5d3e0b98142e3def6d7b90,official route changes from transfer_fee_charged to card_payment_fee_charged,NEAREST,lower_proxy_risk,ELIGIBLE,1
35,BANKING77,test,banking77:test:00080,exchange_rate,banking77:test:00120,card_payment_wrong_exchange_rate,07aeb9fab22f9a330e311ba8fb83128a89b921b69b4e32cbefe21c9afcf540d5,47374cea3265c0fb318b57510ffda38f3f84c9f67e5d3272a18e92e6f61d8a22,official route changes from exchange_rate to card_payment_wrong_exchange_rate,NEAREST,lower_proxy_risk,ELIGIBLE,1
36,BANKING77,test,banking77:test:01360,disposable_card_limits,banking77:test:02600,get_disposable_virtual_card,7139e8bb24f1c827ca2b10ad6577ac9d37c3ead4ceb18d4280fd22f911956e99,4c1690928f89d900ee4f8b0885bb7da80a564020d453c85b182f6c52c26f4122,official route changes from disposable_card_limits to get_disposable_virtual_card,NEAREST,lower_proxy_risk,ELIGIBLE,1
37,BANKING77,test,banking77:test:02600,get_disposable_virtual_card,banking77:test:01360,disposable_card_limits,4c1690928f89d900ee4f8b0885bb7da80a564020d453c85b182f6c52c26f4122,7139e8bb24f1c827ca2b10ad6577ac9d37c3ead4ceb18d4280fd22f911956e99,official route changes from get_disposable_virtual_card to disposable_card_limits,NEAREST,lower_proxy_risk,ELIGIBLE,1
38,BANKING77,test,banking77:test:01200,unable_to_verify_identity,banking77:test:03001,verify_my_identity,e87a1aa6f706d38572285784da7e310c6e229b56ae48ba77d2eabe4b0fde3e99,7f0eb19a4329cfc77f6a594d842adadc587c7f0e5302199dbbb6258cba7a5f27,official route changes from unable_to_verify_identity to verify_my_identity,NEAREST,lower_proxy_risk,ELIGIBLE,1
39,BANKING77,test,banking77:test:02440,top_up_by_cash_or_cheque,banking77:test:02801,top_up_by_card_charge,d6b78320dd0878eb91b090892376417795361756716c4061a1b936d87f4a86b1,4cf6847dfedbab4ae7ed116144f4cb6f0dfd56e115845e87da05a4743c8f743c,official route changes from top_up_by_cash_or_cheque to top_up_by_card_charge,NEAREST,lower_proxy_risk,ELIGIBLE,1
40,BANKING77,test,banking77:test:01440,atm_support,banking77:test:03040,country_support,01d9a5bc59acbfb4b9692c6132644340eacd4bc58a946dd26b87dc3f18e430d6,fa09ba7aa18d6f5f29335d4253ed3371a08d3e599053a64a36d96590937283fa,official route changes from atm_support to country_support,NEAREST,lower_proxy_risk,ELIGIBLE,1
41,BANKING77,test,banking77:test:03040,country_support,banking77:test:01440,atm_support,fa09ba7aa18d6f5f29335d4253ed3371a08d3e599053a64a36d96590937283fa,01d9a5bc59acbfb4b9692c6132644340eacd4bc58a946dd26b87dc3f18e430d6,official route changes from country_support to atm_support,NEAREST,lower_proxy_risk,ELIGIBLE,1
42,BANKING77,test,banking77:test:00680,cancel_transfer,banking77:test:01720,declined_transfer,506d43bbc99890d99cf49c23a0837f573f66258fafbf77571d97124da4a15faa,45e4cdf8110a0c00b9ecaa539bc0bcbbba705b33028d03687f6c561bc3134465,official route changes from cancel_transfer to declined_transfer,NEAREST,lower_proxy_risk,ELIGIBLE,1
43,BANKING77,test,banking77:test:02040,transfer_timing,banking77:test:00680,cancel_transfer,63346c489e4744dc027022e71e7b51b21ce656352d4a9fa0f56d7139c3b018a0,506d43bbc99890d99cf49c23a0837f573f66258fafbf77571d97124da4a15faa,official route changes from transfer_timing to cancel_transfer,NEAREST,lower_proxy_risk,ELIGIBLE,1
44,BANKING77,test,banking77:test:00960,card_acceptance,banking77:test:00000,card_arrival,ff1bc16e453746f4a247199f1372b8f31e73a457f54b54d915e50ed62a9ffa4d,57a5a4533e3e3cf2792c4d5b2efe5c003df50a3588a8505158a0f0c16da5313f,official route changes from card_acceptance to card_arrival,NEAREST,lower_proxy_risk,ELIGIBLE,1
45,BANKING77,test,banking77:test:00040,card_linking,banking77:test:00964,card_acceptance,ba1ef1bdddc5cd4a39ce00b052dbb4e21d9f92c0b10a43bde9f2084ddb52767c,2e19a4a6c41426c3b8479ffaa8b50e66b0eab963a696b20f8ce64cb6df4bdc14,official route changes from card_linking to card_acceptance,NEAREST,lower_proxy_risk,ELIGIBLE,1
46,BANKING77,test,banking77:test:01920,card_swallowed,banking77:test:00965,card_acceptance,aa726c2ae8d3107a5cca421749fc1a98ce40319373b3295f7f74c32dfea45b34,b8dc6cc56a7e24af183dfb2decbb958ec84aefdf911a2affe72bbbf1cc7a2aad,official route changes from card_swallowed to card_acceptance,NEAREST,lower_proxy_risk,ELIGIBLE,1
47,BANKING77,test,banking77:test:00520,pin_blocked,banking77:test:02120,change_pin,cb8fd9731954cc585640fd877f143588ebcf1bcd968852017a0ce3962beff938,c28652dbd29c4a711b8b50412cc96c3df3444e2611161be43f38cd578644205b,official route changes from pin_blocked to change_pin,NEAREST,lower_proxy_risk,ELIGIBLE,1
48,BANKING77,test,banking77:test:02120,change_pin,banking77:test:00520,pin_blocked,c28652dbd29c4a711b8b50412cc96c3df3444e2611161be43f38cd578644205b,cb8fd9731954cc585640fd877f143588ebcf1bcd968852017a0ce3962beff938,official route changes from change_pin to pin_blocked,NEAREST,lower_proxy_risk,ELIGIBLE,1
49,BANKING77,test,banking77:test:02760,exchange_charge,banking77:test:00080,exchange_rate,266b0c11f5e22c083c11c8d6dd08668b7abf84ff53d83523ddac1a53ba5a9f74,07aeb9fab22f9a330e311ba8fb83128a89b921b69b4e32cbefe21c9afcf540d5,official route changes from exchange_charge to exchange_rate,NEAREST,lower_proxy_risk,ELIGIBLE,1
50,BANKING77,test,banking77:test:01480,direct_debit_payment_not_recognised,banking77:test:02720,cash_withdrawal_not_recognised,0ad54f03d1e2aec988ed6a1fec98597b5443308cc329eb309dd41e4d3fea34c0,18b34858c03229097c4b798ec62da69803148c0358b38f3a7cb984bad7312621,official route changes from direct_debit_payment_not_recognised to cash_withdrawal_not_recognised,NEAREST,lower_proxy_risk,ELIGIBLE,1
51,BANKING77,test,banking77:test:02840,activate_my_card,banking77:test:00966,card_acceptance,ac8e6235b465e378d28ca3a11fc15f3e7d95e7994379dbbc3d23ebb6a704ed47,1814af1af58ea4025685e398248675eea7e1f499146cf3e35c7d3a0804bd755f,official route changes from activate_my_card to card_acceptance,NEAREST,lower_proxy_risk,ELIGIBLE,1
52,BANKING77,test,banking77:test:00240,fiat_currency_support,banking77:test:01441,atm_support,be8599dfdbdf0ddc429fb54aeb6239203e848d5b70a104d5c0dff238934a5bb9,6b8d513943525bb33e16c70ced916c74bbc98177bd19d0fa4e1549df6d0d42c8,official route changes from fiat_currency_support to atm_support,NEAREST,lower_proxy_risk,ELIGIBLE,1
53,BANKING77,test,banking77:test:02320,transfer_into_account,banking77:test:00681,cancel_transfer,7cef5c414baca7b8fb85d3d6cd41c0e7a18d363d8bd3e2bd20b5d98e0cdf2c1f,fc70150f630819d412ea0a8bc3dd9a29a36ec7788f15c6c1f05601507d7b52dd,official route changes from transfer_into_account to cancel_transfer,NEAREST,lower_proxy_risk,ELIGIBLE,1
54,BANKING77,test,banking77:test:00280,card_delivery_estimate,banking77:test:00967,card_acceptance,9ecdeb8e1feffc7fdee028c77c663d617cdb3f08a409e06ba64ebf711a03d9a9,f606ca548078d1387840a012ec38f661e5a73ebcd72d423979ab37aa3c6996f3,official route changes from card_delivery_estimate to card_acceptance,NEAREST,lower_proxy_risk,ELIGIBLE,1
55,BANKING77,test,banking77:test:00400,exchange_via_app,banking77:test:02760,exchange_charge,c3c2dd774ae317152b81f7752a06ff012e80064b0dd228144e0b193811364d98,266b0c11f5e22c083c11c8d6dd08668b7abf84ff53d83523ddac1a53ba5a9f74,official route changes from exchange_via_app to exchange_charge,NEAREST,lower_proxy_risk,ELIGIBLE,1
56,BANKING77,test,banking77:test:01880,terminate_account,banking77:test:02320,transfer_into_account,82a60c10a124442ae508e70c1fbc562e8b472318c4787fb0846ec74a6683e97b,7cef5c414baca7b8fb85d3d6cd41c0e7a18d363d8bd3e2bd20b5d98e0cdf2c1f,official route changes from terminate_account to transfer_into_account,NEAREST,lower_proxy_risk,ELIGIBLE,1
57,BANKING77,test,banking77:test:00760,wrong_amount_of_cash_received,banking77:test:02560,wrong_exchange_rate_for_cash_withdrawal,cf3722e6f84db0eb3b05862fe75fc41513cf7b29188795cb907d1603794390c8,c808300eeab8b4460c47adc4c4205b8b48fe7ed6b99fe6a589d365815c5e0361,official route changes from wrong_amount_of_cash_received to wrong_exchange_rate_for_cash_withdrawal,NEAREST,lower_proxy_risk,ELIGIBLE,1
58,BANKING77,test,banking77:test:01760,Refund_not_showing_up,banking77:test:01680,request_refund,77d105933341b06b3f3141483c93a09afa0bf35406254569c712fdf503b7b1f5,3f8c6e37b74ea44914f28d9010cb908d0c5826e3d9de2ed555da03ff4c336f1a,official route changes from Refund_not_showing_up to request_refund,NEAREST,lower_proxy_risk,ELIGIBLE,1
59,BANKING77,test,banking77:test:02920,card_about_to_expire,banking77:test:00968,card_acceptance,2abcbb4b8b52c55d92463d39a4255870266070ad3d12536756e4870f24970a81,5c2e56a8b89554ee8af9cc642c3417cd5b7d0faaf0b3745ca287290882cae467,official route changes from card_about_to_expire to card_acceptance,NEAREST,lower_proxy_risk,ELIGIBLE,1
60,BANKING77,test,banking77:test:00160,extra_charge_on_statement,banking77:test:02761,exchange_charge,527a01385efd0f890edcac895dbf47396320d66707f7be539a8c21d5d89915aa,3234299212596d71b076efb87981de2b7a4bbb40443aeb923986ceee61e9e679,official route changes from extra_charge_on_statement to exchange_charge,NEAREST,lower_proxy_risk,ELIGIBLE,1
61,BANKING77,test,banking77:test:01960,transaction_charged_twice,banking77:test:02200,transfer_fee_charged,c5a4e1c5b01bfdb196014d3b1d24a8f111e0b23cfc555af1ac5854862abbb77d,cbf68e6f1b5bd83eaae0eafa5a38e4ae1820ef5d5b0f8a22b8cca71b3fdce046,official route changes from transaction_charged_twice to transfer_fee_charged,NEAREST,lower_proxy_risk,ELIGIBLE,1
62,BANKING77,test,banking77:test:01280,visa_or_mastercard,banking77:test:02960,apple_pay_or_google_pay,d1d7075bb89a437234d58e5ca6c7730cd8d6b657456f53e0f28489794e9eba9b,36276c463189b9fa5121eb6e4bcaeb6110ae160de6b640b037cf33942852c63a,official route changes from visa_or_mastercard to apple_pay_or_google_pay,NEAREST,lower_proxy_risk,ELIGIBLE,1
63,BANKING77,test,banking77:test:02960,apple_pay_or_google_pay,banking77:test:01280,visa_or_mastercard,36276c463189b9fa5121eb6e4bcaeb6110ae160de6b640b037cf33942852c63a,d1d7075bb89a437234d58e5ca6c7730cd8d6b657456f53e0f28489794e9eba9b,official route changes from apple_pay_or_google_pay to visa_or_mastercard,NEAREST,lower_proxy_risk,ELIGIBLE,1
64,BANKING77,test,banking77:test:02000,verify_source_of_funds,banking77:test:03002,verify_my_identity,50ca1bf52d564281e4041fc28293d70daccac2d33da83f2d5f9916d90b37eacf,b60a638ea7e6becb967f16b497025afd398bc50f06eef6641c187db1fe5303ff,official route changes from verify_source_of_funds to verify_my_identity,NEAREST,lower_proxy_risk,ELIGIBLE,1
65,BANKING77,test,banking77:test:00480,age_limit,banking77:test:01760,Refund_not_showing_up,18dbe4c7bac3d1876f15c5843f7a86fc8c8b3a79f2329a23b70690d437cd6343,77d105933341b06b3f3141483c93a09afa0bf35406254569c712fdf503b7b1f5,official route changes from age_limit to Refund_not_showing_up,NEAREST,lower_proxy_risk,ELIGIBLE,1
66,BANKING77,test,banking77:test:01120,edit_personal_details,banking77:test:01761,Refund_not_showing_up,9a035effbf81f95f07c437b18a7b75446c4998545468634485f075e3f42da177,52a772cf2c277306c6c4c65c822e4336de24ef9f14f586a7d4a9af47bf3e0f7b,official route changes from edit_personal_details to Refund_not_showing_up,NEAREST,lower_proxy_risk,ELIGIBLE,1
67,BANKING77,test,banking77:test:01520,passcode_forgotten,banking77:test:01762,Refund_not_showing_up,0182174c7daf28cc2131f16e958f85c5ed1bca0ea6eac2dd7c5560cca7bb1770,fad7b26d3e88893bf9277dcc9c10a50daa2e5fe00b619cca8b79f2f6dd095849,official route changes from passcode_forgotten to Refund_not_showing_up,NEAREST,lower_proxy_risk,ELIGIBLE,1
68,BANKING77,test,banking77:test:02240,receiving_money,banking77:test:01763,Refund_not_showing_up,0421de6138028ac314d67810a43d66cc7decf8d9cd72581581723d5b962749c3,3acc2925144c61ecfcd6d655bb7e4ec341e31394ae92f88a2cc7885a5b3fce13,official route changes from receiving_money to Refund_not_showing_up,NEAREST,lower_proxy_risk,ELIGIBLE,1
69,BANKING77,test,banking77:test:00880,supported_cards_and_currencies,banking77:test:01764,Refund_not_showing_up,159328647479925b40d7c991f3a0fcf768fbc198cce33c6d484d82d5c0d3af62,cca4b1ab40bcb494d456154344849487ad22545d92566e1b783a8896668e3bcd,official route changes from supported_cards_and_currencies to Refund_not_showing_up,NEAREST,lower_proxy_risk,ELIGIBLE,1
70,BANKING77,test,banking77:test:02520,virtual_card_not_working,banking77:test:00360,card_not_working,83c190358eaa74510b5ee85d6703900bc973cc4a58281e63fb233e885d37ce52,d1fb17a51a9c44d9fec9524168c78989c206841ac1935b94d7eca8218adbe62f,official route changes from virtual_card_not_working to card_not_working,NEAREST,lower_proxy_risk,ELIGIBLE,1
71,BANKING77,test,banking77:test:00441,lost_or_stolen_card,banking77:test:01641,lost_or_stolen_phone,bde9d4fc9e2e57289ea124bd87e45fb9be0d6559f66b8a0a8658e619f20c74bf,4c0d4a190cb4a4570592f46d378db13db6c0c24f2f8f8e3c5d066eeb52c1f6f0,official route changes from lost_or_stolen_card to lost_or_stolen_phone,NEAREST,lower_proxy_risk,ELIGIBLE,1
72,BANKING77,test,banking77:test:01641,lost_or_stolen_phone,banking77:test:00441,lost_or_stolen_card,4c0d4a190cb4a4570592f46d378db13db6c0c24f2f8f8e3c5d066eeb52c1f6f0,bde9d4fc9e2e57289ea124bd87e45fb9be0d6559f66b8a0a8658e619f20c74bf,official route changes from lost_or_stolen_phone to lost_or_stolen_card,NEAREST,lower_proxy_risk,ELIGIBLE,1
73,BANKING77,test,banking77:test:00600,top_up_by_bank_transfer_charge,banking77:test:02802,top_up_by_card_charge,bf04c51c2fff4dba01ec23ea174925eda0d978ccff3bc47452ea741e04943bc4,a69357e07c77f0aa1b6ee3f05ef06c3e7796b5e683722f93779d315860480ba0,official route changes from top_up_by_bank_transfer_charge to top_up_by_card_charge,NEAREST,lower_proxy_risk,ELIGIBLE,1
74,BANKING77,test,banking77:test:02800,top_up_by_card_charge,banking77:test:00600,top_up_by_bank_transfer_charge,3b684838db4fe215d25738b64dcdd94ee144ba5dc0d1a32592ead0d0fb90c397,bf04c51c2fff4dba01ec23ea174925eda0d978ccff3bc47452ea741e04943bc4,official route changes from top_up_by_card_charge to top_up_by_bank_transfer_charge,NEAREST,lower_proxy_risk,ELIGIBLE,1
75,BANKING77,test,banking77:test:00321,automatic_top_up,banking77:test:00641,pending_top_up,70c319d68271307e7eabee9dd27cf8edb3108b07f84e4249540e3a2c97fb2736,f88db1ae202a94564bc3485f4547f4a26126ae89e4eea0a1965dfcc6f0b2ccb3,official route changes from automatic_top_up to pending_top_up,NEAREST,lower_proxy_risk,ELIGIBLE,1
