dataset,cell_id,clean_min,responsiveness_min,review_max,harmful_max,sensitivity_action
stage2b,O_V,0.7,0.85,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.7,0.85,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.7,0.85,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.7,0.85,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.7,0.85,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.7,0.85,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.7,0.85,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.7,0.85,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.7,0.85,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.7,0.85,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.7,0.85,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.7,0.85,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.7,0.85,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.7,0.85,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.7,0.85,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.7,0.85,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.7,0.85,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.7,0.85,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.7,0.85,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.7,0.85,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.7,0.1,0,APPROVE_WITH_MONITORING
stage2b,O_G,0.75,0.7,0.1,0,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.7,0.1,0,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.7,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.7,0.1,0.02,APPROVE_WITH_MONITORING
stage2b,O_G,0.75,0.7,0.1,0.02,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.7,0.1,0.02,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.7,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.7,0.1,0.05,APPROVE
stage2b,O_G,0.75,0.7,0.1,0.05,APPROVE
stage2b,A_V,0.75,0.7,0.1,0.05,APPROVE
stage2b,A_G,0.75,0.7,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.7,0.2,0,APPROVE_WITH_MONITORING
stage2b,O_G,0.75,0.7,0.2,0,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.7,0.2,0,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.7,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.7,0.2,0.02,APPROVE_WITH_MONITORING
stage2b,O_G,0.75,0.7,0.2,0.02,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.7,0.2,0.02,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.7,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.7,0.2,0.05,APPROVE
stage2b,O_G,0.75,0.7,0.2,0.05,APPROVE
stage2b,A_V,0.75,0.7,0.2,0.05,APPROVE
stage2b,A_G,0.75,0.7,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.7,0.3,0,APPROVE_WITH_MONITORING
stage2b,O_G,0.75,0.7,0.3,0,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.7,0.3,0,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.7,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.7,0.3,0.02,APPROVE_WITH_MONITORING
stage2b,O_G,0.75,0.7,0.3,0.02,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.7,0.3,0.02,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.7,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.7,0.3,0.05,APPROVE
stage2b,O_G,0.75,0.7,0.3,0.05,APPROVE
stage2b,A_V,0.75,0.7,0.3,0.05,APPROVE
stage2b,A_G,0.75,0.7,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.75,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.75,0.1,0,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.75,0.1,0,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.75,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.75,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.75,0.1,0.02,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.75,0.1,0.02,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.75,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.75,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.75,0.1,0.05,APPROVE
stage2b,A_V,0.75,0.75,0.1,0.05,APPROVE
stage2b,A_G,0.75,0.75,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.75,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.75,0.2,0,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.75,0.2,0,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.75,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.75,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.75,0.2,0.02,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.75,0.2,0.02,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.75,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.75,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.75,0.2,0.05,APPROVE
stage2b,A_V,0.75,0.75,0.2,0.05,APPROVE
stage2b,A_G,0.75,0.75,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.75,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.75,0.3,0,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.75,0.3,0,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.75,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.75,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.75,0.3,0.02,APPROVE_WITH_MONITORING
stage2b,A_V,0.75,0.75,0.3,0.02,APPROVE_WITH_MONITORING
stage2b,A_G,0.75,0.75,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.75,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.75,0.3,0.05,APPROVE
stage2b,A_V,0.75,0.75,0.3,0.05,APPROVE
stage2b,A_G,0.75,0.75,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.8,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.8,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.8,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.8,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.8,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.8,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.8,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.8,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.8,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.8,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.8,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.8,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.8,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.8,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.8,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.8,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.8,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.8,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.8,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.8,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.8,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.8,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.8,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.8,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.8,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.8,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.8,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.8,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.8,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.8,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.8,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.8,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.8,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.8,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.8,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.8,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.85,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.85,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.85,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.85,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.85,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.85,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.85,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.85,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.85,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.85,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.85,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.85,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.85,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.85,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.85,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.85,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.85,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.85,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.85,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.85,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.85,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.85,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.85,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.85,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.85,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.85,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.85,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.85,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.85,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.85,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.85,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.85,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.75,0.85,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.75,0.85,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.75,0.85,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.75,0.85,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.8,0.7,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.8,0.7,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.8,0.7,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.8,0.7,0.1,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.8,0.7,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.8,0.7,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.8,0.7,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.8,0.7,0.1,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.8,0.7,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.8,0.7,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.8,0.7,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.8,0.7,0.1,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.8,0.7,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.8,0.7,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.8,0.7,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.8,0.7,0.2,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.8,0.7,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.8,0.7,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.8,0.7,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.8,0.7,0.2,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.8,0.7,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.8,0.7,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.8,0.7,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.8,0.7,0.2,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.8,0.7,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.8,0.7,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.8,0.7,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.8,0.7,0.3,0,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.8,0.7,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.8,0.7,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.8,0.7,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,A_G,0.8,0.7,0.3,0.02,REJECT_OR_DELAY_ROLLOUT
stage2b,O_V,0.8,0.7,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,O_G,0.8,0.7,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
stage2b,A_V,0.8,0.7,0.3,0.05,REJECT_OR_DELAY_ROLLOUT
